channel,snr_db,ber,psnr,bits_src,bits_tx
awgn,15,0.0000,inf,21208,148456
rayleigh,15,0.0000,inf,21208,148456
rician,15,0.0000,inf,21208,148456
awgn,10,0.0000,inf,21208,148456
rayleigh,10,0.0000,inf,21208,148456
rician,10,0.0066,8.91,21208,148456
awgn,5,0.0003,8.91,21208,148456
rayleigh,5,0.2621,8.91,21208,148456
rician,5,0.0000,8.91,21208,148456
