channel,snr_db,ber,psnr,bits_src,bits_tx
awgn,15,0.0000,22.15,640,4480
rayleigh,15,0.0016,21.47,640,4480
rician,15,0.0000,22.15,640,4480
awgn,10,0.0000,22.15,640,4480
rayleigh,10,0.0266,19.73,640,4480
rician,10,0.0000,22.15,640,4480
awgn,5,0.0000,22.15,640,4480
rayleigh,5,0.0000,22.15,640,4480
rician,5,0.0000,22.15,640,4480
